layer,head,ld_abl,ld_base,d_ld,acc_abl,acc_base,d_acc,p_drop,kl_div,acc_flip_rate
8,0,4.04923125,4.269809375,-0.2205781250000003,0.9178,0.9274,-0.009600000000000053,0.02868251953125,,0.0822
8,1,4.2593,4.269809375,-0.010509375000000709,0.9246,0.9274,-0.0028000000000000247,0.0063379150390625,,0.0754
8,2,4.252621875,4.269809375,-0.017187500000000355,0.9258,0.9274,-0.0016000000000000458,0.00878192138671875,,0.0742
8,3,4.316425,4.269809375,0.04661562499999938,0.932,0.9274,0.0046000000000000485,-0.01297996826171875,,0.068
8,4,4.350375,4.269809375,0.08056562499999931,0.9348,0.9274,0.007399999999999962,-0.012519580078125,,0.0652
8,5,4.211825,4.269809375,-0.0579843750000002,0.9298,0.9274,0.0023999999999999577,0.005520501708984375,,0.0702
8,6,4.31854375,4.269809375,0.04873437499999955,0.9308,0.9274,0.0033999999999999586,-0.004145376586914063,,0.0692
8,7,4.2516375,4.269809375,-0.01817187500000017,0.9264,0.9274,-0.0010000000000000009,0.001220135498046875,,0.0736
8,8,4.0589875,4.269809375,-0.2108218750000006,0.9048,0.9274,-0.022599999999999953,0.05233173828125,,0.0952
8,9,4.259815625,4.269809375,-0.009993750000000468,0.9268,0.9274,-0.0006000000000000449,0.0091895263671875,,0.0732
8,10,4.24545625,4.269809375,-0.024353125000000198,0.9262,0.9274,-0.0011999999999999789,0.007241888427734375,,0.0738
8,11,4.249553125,4.269809375,-0.020256250000000087,0.921,0.9274,-0.006399999999999961,0.015106475830078125,,0.079
8,12,4.183525,4.269809375,-0.08628437499999997,0.93,0.9274,0.0026000000000000467,0.0005390892028808593,,0.07
8,13,4.25105,4.269809375,-0.018759375000000134,0.9286,0.9274,0.0011999999999999789,-0.0008011276245117187,,0.0714
8,14,4.274678125,4.269809375,0.004868749999999977,0.9304,0.9274,0.0030000000000000027,-0.00432197265625,,0.0696
8,15,4.17005,4.269809375,-0.09975937500000054,0.932,0.9274,0.0046000000000000485,-0.0052949462890625,,0.068
9,0,4.327375,4.269809375,0.05756562499999962,0.9264,0.9274,-0.0010000000000000009,-0.0034341949462890625,,0.0736
9,1,4.2313625,4.269809375,-0.03844687499999999,0.9282,0.9274,0.0008000000000000229,0.0130614501953125,,0.0718
9,2,4.22765625,4.269809375,-0.04215312500000046,0.9298,0.9274,0.0023999999999999577,0.0010860107421875,,0.0702
9,3,4.1541375,4.269809375,-0.11567187500000031,0.9404,0.9274,0.013000000000000012,-0.0197263427734375,,0.0596
9,4,4.2689,4.269809375,-0.00090937499999999,0.929,0.9274,0.0016000000000000458,-0.00192099609375,,0.071
9,5,4.28325,4.269809375,0.013440624999999429,0.9292,0.9274,0.0018000000000000238,-0.00296954345703125,,0.0708
9,6,4.24843125,4.269809375,-0.021378125000000026,0.9278,0.9274,0.00039999999999995595,0.0024642913818359374,,0.0722
9,7,4.2611625,4.269809375,-0.008646875000000165,0.9308,0.9274,0.0033999999999999586,0.00123321533203125,,0.0692
9,8,4.29530625,4.269809375,0.025496874999999974,0.9288,0.9274,0.0013999999999999568,0.001440582275390625,,0.0712
9,9,4.175128125,4.269809375,-0.09468125000000072,0.919,0.9274,-0.008399999999999963,0.012622412109375,,0.081
9,10,4.2206625,4.269809375,-0.04914687499999992,0.9294,0.9274,0.0020000000000000018,0.009439303588867187,,0.0706
9,11,4.227978125,4.269809375,-0.04183125000000043,0.9244,0.9274,-0.0030000000000000027,0.0056676025390625,,0.0756
9,12,4.354734375,4.269809375,0.08492499999999925,0.9358,0.9274,0.008399999999999963,-0.0074160888671875,,0.0642
9,13,4.086325,4.269809375,-0.18348437499999992,0.9208,0.9274,-0.00660000000000005,0.02170980224609375,,0.0792
9,14,4.212275,4.269809375,-0.05753437500000036,0.9258,0.9274,-0.0016000000000000458,0.009323162841796875,,0.0742
9,15,4.2578125,4.269809375,-0.011996875000000351,0.9282,0.9274,0.0008000000000000229,0.008582080078125,,0.0718
10,0,4.022503125,4.269809375,-0.24730625000000028,0.9114,0.9274,-0.016000000000000014,0.04715078125,,0.0886
10,1,4.31908125,4.269809375,0.04927187499999963,0.9268,0.9274,-0.0006000000000000449,-0.0015540977478027344,,0.0732
10,2,4.2862125,4.269809375,0.016403125000000074,0.9342,0.9274,0.006800000000000028,-0.006502850341796875,,0.0658
10,3,4.2569875,4.269809375,-0.012821875000000205,0.9294,0.9274,0.0020000000000000018,0.0007494659423828125,,0.0706
10,4,4.23469375,4.269809375,-0.03511562500000043,0.923,0.9274,-0.0043999999999999595,0.008929144287109374,,0.077
10,5,4.24311875,4.269809375,-0.026690625000000523,0.9266,0.9274,-0.0008000000000000229,0.0014073043823242188,,0.0734
10,6,4.275934375,4.269809375,0.006124999999999936,0.926,0.9274,-0.0013999999999999568,0.001571258544921875,,0.074
10,7,4.0710125,4.269809375,-0.1987968750000002,0.9098,0.9274,-0.01759999999999995,0.03423349609375,,0.0902
10,8,4.25341875,4.269809375,-0.016390625000000547,0.9278,0.9274,0.00039999999999995595,0.0019330078125,,0.0722
10,9,4.2744625,4.269809375,0.004653124999999925,0.929,0.9274,0.0016000000000000458,0.0019474609375,,0.071
10,10,4.3969625,4.269809375,0.12715312499999953,0.932,0.9274,0.0046000000000000485,-0.014001666259765625,,0.068
10,11,4.35461875,4.269809375,0.08480937499999985,0.9318,0.9274,0.0043999999999999595,-0.00822496337890625,,0.0682
10,12,4.274503125,4.269809375,0.004693749999999497,0.9296,0.9274,0.0021999999999999797,0.0035498046875,,0.0704
10,13,4.370128125,4.269809375,0.10031874999999957,0.9354,0.9274,0.008000000000000007,-0.01665660400390625,,0.0646
10,14,3.9688,4.269809375,-0.30100937500000047,0.913,0.9274,-0.014399999999999968,0.037664599609375,,0.087
10,15,4.27875,4.269809375,0.008940624999999258,0.9296,0.9274,0.0021999999999999797,-0.0013925888061523438,,0.0704
11,0,4.2766875,4.269809375,0.006878125000000068,0.9262,0.9274,-0.0011999999999999789,-0.0021604522705078125,,0.0738
11,1,4.31469375,4.269809375,0.04488437499999964,0.9224,0.9274,-0.0050000000000000044,0.002793806457519531,,0.0776
11,2,4.25301875,4.269809375,-0.016790625000000503,0.9266,0.9274,-0.0008000000000000229,0.001860516357421875,,0.0734
11,3,4.275446875,4.269809375,0.00563749999999974,0.928,0.9274,0.0006000000000000449,0.00514605712890625,,0.072
11,4,4.14885625,4.269809375,-0.12095312500000066,0.9138,0.9274,-0.013600000000000056,0.0356818359375,,0.0862
11,5,4.2929,4.269809375,0.02309062500000003,0.927,0.9274,-0.00039999999999995595,0.000324853515625,,0.073
11,6,4.319075,4.269809375,0.049265624999999424,0.9216,0.9274,-0.005800000000000027,0.00577938232421875,,0.0784
11,7,4.21734375,4.269809375,-0.05246562499999996,0.9268,0.9274,-0.0006000000000000449,0.0034353790283203124,,0.0732
11,8,4.25074375,4.269809375,-0.01906562500000053,0.932,0.9274,0.0046000000000000485,-0.0015033515930175782,,0.068
11,9,4.249328125,4.269809375,-0.02048125000000045,0.9302,0.9274,0.0028000000000000247,-0.00259024658203125,,0.0698
11,10,4.16498125,4.269809375,-0.10482812500000005,0.9262,0.9274,-0.0011999999999999789,0.003066717529296875,,0.0738
11,11,4.2662,4.269809375,-0.0036093749999999147,0.9266,0.9274,-0.0008000000000000229,0.003674407958984375,,0.0734
11,12,4.31290625,4.269809375,0.04309687499999981,0.9342,0.9274,0.006800000000000028,-0.0151758544921875,,0.0658
11,13,4.202353125,4.269809375,-0.06745625000000022,0.9318,0.9274,0.0043999999999999595,0.0017085296630859376,,0.0682
11,14,4.307565625,4.269809375,0.03775624999999927,0.9228,0.9274,-0.0046000000000000485,0.0007009033203125,,0.0772
11,15,4.20849375,4.269809375,-0.06131562500000065,0.9306,0.9274,0.0031999999999999806,-0.000336712646484375,,0.0694
