layer,head,mean_value,rank
17,15,1.0595703125,1
28,10,1.0673828125,2
30,17,1.072265625,3
17,5,1.0732421875,4
33,5,1.07421875,5
18,8,1.0751953125,6
19,2,1.0751953125,7
30,1,1.0751953125,8
34,3,1.076171875,9
0,14,1.0771484375,10
1,1,1.0771484375,11
18,13,1.078125,12
13,18,1.0810546875,13
15,14,1.0810546875,14
16,7,1.0830078125,15
19,13,1.0830078125,16
19,14,1.0830078125,17
17,12,1.083984375,18
22,0,1.083984375,19
27,16,1.0849609375,20
29,12,1.0849609375,21
35,17,1.0849609375,22
10,11,1.0859375,23
22,15,1.0859375,24
16,9,1.0869140625,25
16,17,1.0869140625,26
23,13,1.0869140625,27
6,3,1.087890625,28
30,6,1.087890625,29
34,2,1.087890625,30
7,0,1.0888671875,31
10,5,1.0888671875,32
14,5,1.0888671875,33
14,14,1.0888671875,34
14,16,1.0888671875,35
17,7,1.0888671875,36
14,0,1.08984375,37
15,0,1.08984375,38
15,9,1.08984375,39
24,0,1.08984375,40
29,4,1.08984375,41
32,13,1.08984375,42
8,11,1.0908203125,43
12,14,1.0908203125,44
13,10,1.0908203125,45
20,4,1.0908203125,46
26,11,1.0908203125,47
35,16,1.0908203125,48
10,3,1.091796875,49
15,12,1.091796875,50
18,4,1.091796875,51
20,9,1.091796875,52
31,2,1.091796875,53
5,18,1.0927734375,54
12,13,1.0927734375,55
12,16,1.0927734375,56
16,13,1.0927734375,57
17,18,1.0927734375,58
18,0,1.0927734375,59
19,15,1.0927734375,60
20,14,1.0927734375,61
21,0,1.0927734375,62
23,10,1.0927734375,63
23,16,1.0927734375,64
26,12,1.0927734375,65
27,8,1.0927734375,66
31,3,1.0927734375,67
3,19,1.09375,68
4,13,1.09375,69
5,14,1.09375,70
5,19,1.09375,71
8,14,1.09375,72
12,8,1.09375,73
14,1,1.09375,74
14,17,1.09375,75
17,13,1.09375,76
23,12,1.09375,77
24,2,1.09375,78
24,12,1.09375,79
25,14,1.09375,80
25,15,1.09375,81
32,12,1.09375,82
8,3,1.0947265625,83
10,14,1.0947265625,84
12,17,1.0947265625,85
15,4,1.0947265625,86
15,13,1.0947265625,87
16,5,1.0947265625,88
18,17,1.0947265625,89
20,3,1.0947265625,90
20,6,1.0947265625,91
20,13,1.0947265625,92
21,16,1.0947265625,93
22,7,1.0947265625,94
24,4,1.0947265625,95
28,8,1.0947265625,96
31,7,1.0947265625,97
35,4,1.0947265625,98
2,4,1.095703125,99
7,16,1.095703125,100
8,5,1.095703125,101
8,17,1.095703125,102
9,14,1.095703125,103
11,10,1.095703125,104
13,5,1.095703125,105
13,17,1.095703125,106
21,6,1.095703125,107
22,2,1.095703125,108
32,14,1.095703125,109
34,4,1.095703125,110
34,11,1.095703125,111
35,3,1.095703125,112
35,5,1.095703125,113
35,14,1.095703125,114
3,4,1.0966796875,115
4,1,1.0966796875,116
6,0,1.0966796875,117
6,2,1.0966796875,118
6,7,1.0966796875,119
8,9,1.0966796875,120
8,13,1.0966796875,121
9,13,1.0966796875,122
10,7,1.0966796875,123
11,7,1.0966796875,124
17,3,1.0966796875,125
17,19,1.0966796875,126
19,1,1.0966796875,127
21,10,1.0966796875,128
22,1,1.0966796875,129
22,11,1.0966796875,130
22,14,1.0966796875,131
23,7,1.0966796875,132
24,11,1.0966796875,133
26,16,1.0966796875,134
33,8,1.0966796875,135
35,8,1.0966796875,136
3,8,1.09765625,137
9,12,1.09765625,138
14,13,1.09765625,139
15,6,1.09765625,140
15,19,1.09765625,141
16,0,1.09765625,142
16,14,1.09765625,143
18,16,1.09765625,144
21,12,1.09765625,145
25,13,1.09765625,146
28,3,1.09765625,147
28,15,1.09765625,148
32,5,1.09765625,149
33,2,1.09765625,150
33,18,1.09765625,151
35,7,1.09765625,152
2,5,1.0986328125,153
2,12,1.0986328125,154
2,18,1.0986328125,155
3,10,1.0986328125,156
4,9,1.0986328125,157
5,2,1.0986328125,158
5,16,1.0986328125,159
7,9,1.0986328125,160
7,17,1.0986328125,161
8,7,1.0986328125,162
9,10,1.0986328125,163
10,8,1.0986328125,164
12,12,1.0986328125,165
13,0,1.0986328125,166
13,7,1.0986328125,167
14,19,1.0986328125,168
15,18,1.0986328125,169
16,3,1.0986328125,170
17,2,1.0986328125,171
17,11,1.0986328125,172
18,7,1.0986328125,173
18,11,1.0986328125,174
19,4,1.0986328125,175
19,8,1.0986328125,176
23,18,1.0986328125,177
24,7,1.0986328125,178
24,8,1.0986328125,179
25,17,1.0986328125,180
26,5,1.0986328125,181
27,10,1.0986328125,182
28,6,1.0986328125,183
30,9,1.0986328125,184
31,12,1.0986328125,185
32,19,1.0986328125,186
34,1,1.0986328125,187
35,13,1.0986328125,188
0,9,1.099609375,189
