layer,head,mean_value,rank
30,1,1.5625,1
25,13,1.5888671875,2
28,8,1.6005859375,3
24,2,1.607421875,4
15,1,1.6142578125,5
17,7,1.6142578125,6
12,2,1.615234375,7
29,9,1.6171875,8
4,8,1.6181640625,9
34,2,1.6201171875,10
14,5,1.6240234375,11
18,13,1.6240234375,12
28,10,1.6240234375,13
34,3,1.6240234375,14
19,10,1.6259765625,15
5,1,1.626953125,16
24,19,1.6279296875,17
20,9,1.62890625,18
29,15,1.62890625,19
34,4,1.62890625,20
23,16,1.6298828125,21
33,5,1.6298828125,22
3,0,1.6318359375,23
3,6,1.6318359375,24
16,10,1.6318359375,25
30,6,1.6318359375,26
35,17,1.6318359375,27
9,15,1.6337890625,28
23,13,1.6337890625,29
33,16,1.6337890625,30
13,14,1.634765625,31
23,18,1.634765625,32
14,13,1.6357421875,33
17,3,1.6357421875,34
23,2,1.6357421875,35
1,1,1.63671875,36
3,16,1.63671875,37
19,8,1.63671875,38
20,13,1.63671875,39
24,9,1.63671875,40
6,5,1.6376953125,41
31,12,1.6376953125,42
11,17,1.638671875,43
16,17,1.638671875,44
18,8,1.638671875,45
30,17,1.638671875,46
35,2,1.638671875,47
35,10,1.638671875,48
35,16,1.638671875,49
4,7,1.6396484375,50
11,9,1.6396484375,51
14,17,1.6396484375,52
15,19,1.6396484375,53
21,0,1.6396484375,54
21,9,1.6396484375,55
30,5,1.6396484375,56
35,5,1.6396484375,57
2,1,1.640625,58
15,12,1.640625,59
17,2,1.640625,60
17,12,1.640625,61
19,1,1.640625,62
19,16,1.640625,63
23,10,1.640625,64
24,15,1.640625,65
29,4,1.640625,66
35,3,1.640625,67
35,4,1.640625,68
35,8,1.640625,69
0,0,1.6416015625,70
0,3,1.6416015625,71
3,13,1.6416015625,72
4,11,1.6416015625,73
7,6,1.6416015625,74
13,7,1.6416015625,75
13,10,1.6416015625,76
14,19,1.6416015625,77
15,8,1.6416015625,78
16,2,1.6416015625,79
16,11,1.6416015625,80
16,14,1.6416015625,81
19,19,1.6416015625,82
20,14,1.6416015625,83
25,14,1.6416015625,84
26,17,1.6416015625,85
31,3,1.6416015625,86
32,11,1.6416015625,87
32,13,1.6416015625,88
32,14,1.6416015625,89
0,2,1.642578125,90
2,0,1.642578125,91
4,3,1.642578125,92
4,9,1.642578125,93
5,0,1.642578125,94
7,11,1.642578125,95
9,1,1.642578125,96
9,7,1.642578125,97
10,0,1.642578125,98
12,16,1.642578125,99
12,17,1.642578125,100
13,17,1.642578125,101
17,0,1.642578125,102
18,0,1.642578125,103
18,15,1.642578125,104
20,6,1.642578125,105
22,8,1.642578125,106
34,9,1.642578125,107
34,19,1.642578125,108
35,15,1.642578125,109
1,6,1.6435546875,110
1,18,1.6435546875,111
2,3,1.6435546875,112
2,13,1.6435546875,113
3,10,1.6435546875,114
4,14,1.6435546875,115
4,17,1.6435546875,116
5,12,1.6435546875,117
7,0,1.6435546875,118
8,16,1.6435546875,119
10,12,1.6435546875,120
10,13,1.6435546875,121
13,3,1.6435546875,122
13,8,1.6435546875,123
15,10,1.6435546875,124
15,17,1.6435546875,125
16,3,1.6435546875,126
18,5,1.6435546875,127
18,17,1.6435546875,128
19,5,1.6435546875,129
22,11,1.6435546875,130
23,3,1.6435546875,131
24,0,1.6435546875,132
27,5,1.6435546875,133
34,6,1.6435546875,134
0,11,1.64453125,135
0,13,1.64453125,136
1,2,1.64453125,137
1,9,1.64453125,138
2,10,1.64453125,139
