run_id,layer,head_pair,mean_value
h5_layer0_pairs_balanced_cf,0,4-7,1.666015625
h5_layer0_pairs_balanced_cf,0,2-7,1.9638671875
h5_layer0_pairs_balanced_cf,0,2-4,1.9833984375
h5_layer0_pairs_balanced_facts,0,4-7,1.6103515625
h5_layer0_pairs_balanced_facts,0,2-4,1.8173828125
h5_layer0_pairs_balanced_facts,0,2-7,1.8232421875
h5_layer0_pairs_balanced_large_cf,0,2-4,1.1044921875
h5_layer0_pairs_balanced_large_cf,0,2-7,1.1103515625
h5_layer0_pairs_balanced_large_cf,0,4-7,1.1103515625
h5_layer0_pairs_balanced_large_facts,0,2-4,1.642578125
h5_layer0_pairs_balanced_large_facts,0,2-7,1.6474609375
h5_layer0_pairs_balanced_large_facts,0,4-7,1.6533203125
h5_layer0_pairs_balanced_large_logic,0,2-4,-0.07501220703125
h5_layer0_pairs_balanced_large_logic,0,2-7,-0.0706787109375
h5_layer0_pairs_balanced_large_logic,0,4-7,-0.060546875
h5_layer0_pairs_balanced_large_neg,0,2-4,0.1090087890625
h5_layer0_pairs_balanced_large_neg,0,2-7,0.1109619140625
h5_layer0_pairs_balanced_large_neg,0,4-7,0.123291015625
h5_layer0_pairs_balanced_logic,0,4-7,1.578125
h5_layer0_pairs_balanced_logic,0,2-7,1.900390625
h5_layer0_pairs_balanced_logic,0,2-4,1.9052734375
h5_layer0_pairs_balanced_mistral_cf,0,4-7,2.962890625
h5_layer0_pairs_balanced_mistral_cf,0,2-4,2.974609375
h5_layer0_pairs_balanced_mistral_cf,0,2-7,3.029296875
h5_layer0_pairs_balanced_mistral_cf_corrected,0,21-23,3.181640625
h5_layer0_pairs_balanced_mistral_cf_corrected,0,21-22,3.283203125
h5_layer0_pairs_balanced_mistral_cf_corrected,0,22-23,3.298828125
h5_layer0_pairs_balanced_mistral_cf_minimal,0,22-23,3.298828125
h5_layer0_pairs_balanced_mistral_facts,0,2-4,4.765625
h5_layer0_pairs_balanced_mistral_facts,0,4-7,4.81640625
h5_layer0_pairs_balanced_mistral_facts,0,2-7,4.83984375
h5_layer0_pairs_balanced_mistral_facts_minimal,0,22-23,4.9296875
h5_layer0_pairs_balanced_mistral_logic,0,2-7,0.2457275390625
h5_layer0_pairs_balanced_mistral_logic,0,2-4,0.36865234375
h5_layer0_pairs_balanced_mistral_logic,0,4-7,0.380615234375
h5_layer0_pairs_balanced_mistral_logic_competition,0,21-22,-0.0848388671875
h5_layer0_pairs_balanced_mistral_logic_competition,0,21-23,-0.032257080078125
h5_layer0_pairs_balanced_mistral_logic_competition,0,22-23,0.293212890625
h5_layer0_pairs_balanced_mistral_logic_minimal,0,22-23,0.293212890625
h5_layer0_pairs_balanced_mistral_neg,0,2-7,0.28515625
h5_layer0_pairs_balanced_mistral_neg,0,4-7,0.40478515625
h5_layer0_pairs_balanced_mistral_neg,0,2-4,0.443359375
h5_layer0_pairs_balanced_mistral_neg_minimal,0,22-23,0.609375
h5_layer0_pairs_balanced_neg,0,4-7,1.9609375
h5_layer0_pairs_balanced_neg,0,2-7,2.31640625
h5_layer0_pairs_balanced_neg,0,2-4,2.3203125
