run_id,layer,heads,label,mean_value
h5_layer0_triplet_balanced_cf,0,2-4-7,triplet,2.265625
h5_layer0_triplet_balanced_facts,0,2-4-7,triplet,1.8818359375
h5_layer0_triplet_balanced_logic,0,2-4-7,triplet,1.845703125
h5_layer0_triplet_balanced_mistral_cf,0,2-4-7,triplet,2.98828125
h5_layer0_triplet_balanced_mistral_cf_corrected,0,21-22-23,triplet_mistral,3.443359375
h5_layer0_triplet_balanced_mistral_facts,0,2-4-7,triplet,4.7265625
h5_layer0_triplet_balanced_mistral_facts_corrected,0,21-22-23,triplet_mistral,4.68359375
h5_layer0_triplet_balanced_mistral_logic,0,2-4-7,triplet,0.311767578125
h5_layer0_triplet_balanced_mistral_logic_corrected,0,21-22-23,triplet_mistral,-0.2032470703125
h5_layer0_triplet_balanced_mistral_neg,0,2-4-7,triplet,0.3515625
h5_layer0_triplet_balanced_mistral_neg_corrected,0,21-22-23,triplet_mistral,0.291748046875
h5_layer0_triplet_balanced_neg,0,2-4-7,triplet,2.44921875
