run_id,granularity,layer,mean_value
h6_layer0_reverse_balanced_cf,layer_resid,0,0.4755859375
h6_layer0_reverse_balanced_facts,layer_resid,0,-0.047882080078125
h6_layer0_reverse_balanced_logic,layer_resid,0,1.384765625
h6_layer0_reverse_balanced_neg,layer_resid,0,1.310546875
h6_layer_targets_balanced_cf,layer_resid,8,0.4755859375
h6_layer_targets_balanced_facts,layer_resid,11,-0.047882080078125
h6_layer_targets_balanced_logic,layer_resid,0,1.384765625
h6_layer_targets_balanced_neg,layer_resid,2,1.310546875
h6_layer_targets_window_balanced_cf,layer_resid,6,0.4755859375
h6_layer_targets_window_balanced_cf,layer_resid,7,0.4755859375
h6_layer_targets_window_balanced_cf,layer_resid,8,0.4755859375
h6_layer_targets_window_balanced_cf,layer_resid,9,0.4755859375
h6_layer_targets_window_balanced_cf,layer_resid,10,0.4755859375
h6_layer_targets_window_balanced_facts,layer_resid,9,-0.047882080078125
h6_layer_targets_window_balanced_facts,layer_resid,10,-0.047882080078125
h6_layer_targets_window_balanced_facts,layer_resid,11,-0.047882080078125
h6_layer_targets_window_balanced_facts,layer_resid,12,-0.047882080078125
h6_layer_targets_window_balanced_facts,layer_resid,13,-0.047882080078125
h6_layer_targets_window_balanced_logic,layer_resid,0,1.384765625
h6_layer_targets_window_balanced_logic,layer_resid,1,1.384765625
h6_layer_targets_window_balanced_logic,layer_resid,2,1.384765625
h6_layer_targets_window_balanced_neg,layer_resid,0,1.310546875
h6_layer_targets_window_balanced_neg,layer_resid,1,1.310546875
h6_layer_targets_window_balanced_neg,layer_resid,2,1.310546875
h6_layer_targets_window_balanced_neg,layer_resid,3,1.310546875
h6_layer_targets_window_balanced_neg,layer_resid,4,1.310546875
