layer,entropy
0,8.10140609741211
1,6.19000768661499
2,6.904049873352051
3,6.820406913757324
4,7.1325531005859375
5,7.403306484222412
6,7.391082763671875
7,7.110675811767578
8,7.119921684265137
9,6.918344020843506
10,6.796911716461182
11,6.765624046325684
12,6.382143497467041
13,6.347301006317139
14,6.163311958312988
15,6.086609363555908
16,6.059215545654297
17,5.841601371765137
18,5.3582940101623535
19,5.0145721435546875
20,4.754441738128662
21,4.830600261688232
22,5.4734344482421875
23,6.503283500671387
