layer,head,mean_value,rank
0,20,2.392578125,1
2,22,2.634765625,2
1,0,2.650390625,3
2,5,2.697265625,4
30,3,2.708984375,5
0,25,2.740234375,6
31,25,2.74609375,7
26,29,2.783203125,8
1,30,2.802734375,9
13,30,2.8125,10
31,27,2.8125,11
16,15,2.826171875,12
30,1,2.828125,13
0,31,2.830078125,14
1,9,2.837890625,15
30,26,2.841796875,16
29,9,2.84375,17
19,22,2.8515625,18
27,29,2.865234375,19
19,21,2.869140625,20
31,18,2.876953125,21
2,23,2.880859375,22
2,14,2.88671875,23
15,10,2.88671875,24
20,22,2.88671875,25
19,17,2.888671875,26
7,18,2.890625,27
15,21,2.890625,28
17,28,2.890625,29
9,31,2.892578125,30
28,0,2.892578125,31
31,24,2.892578125,32
21,20,2.89453125,33
13,7,2.8984375,34
14,0,2.8984375,35
2,21,2.90234375,36
10,14,2.90234375,37
18,28,2.90234375,38
1,25,2.90625,39
8,31,2.90625,40
1,11,2.91015625,41
8,5,2.91015625,42
10,13,2.91015625,43
11,12,2.91015625,44
8,9,2.912109375,45
28,26,2.912109375,46
6,12,2.9140625,47
9,28,2.9140625,48
17,27,2.916015625,49
27,27,2.916015625,50
3,23,2.91796875,51
18,11,2.91796875,52
27,1,2.91796875,53
11,21,2.919921875,54
10,31,2.921875,55
0,13,2.923828125,56
10,10,2.923828125,57
7,7,2.92578125,58
20,11,2.92578125,59
8,30,2.9296875,60
14,14,2.9296875,61
20,17,2.9296875,62
29,5,2.9296875,63
19,29,2.931640625,64
3,3,2.93359375,65
9,26,2.93359375,66
11,29,2.93359375,67
28,12,2.93359375,68
2,16,2.9375,69
12,9,2.9375,70
15,0,2.9375,71
2,13,2.939453125,72
15,8,2.939453125,73
10,2,2.94140625,74
17,21,2.94140625,75
11,19,2.943359375,76
13,0,2.943359375,77
13,2,2.943359375,78
0,4,2.9453125,79
4,16,2.9453125,80
8,13,2.9453125,81
9,14,2.9453125,82
10,16,2.9453125,83
17,17,2.9453125,84
19,19,2.9453125,85
20,27,2.9453125,86
31,16,2.9453125,87
2,2,2.947265625,88
2,8,2.947265625,89
12,24,2.947265625,90
19,10,2.947265625,91
13,13,2.94921875,92
19,27,2.94921875,93
11,25,2.951171875,94
13,26,2.951171875,95
0,10,2.953125,96
0,17,2.953125,97
2,31,2.953125,98
0,0,2.955078125,99
17,26,2.955078125,100
25,10,2.955078125,101
28,6,2.955078125,102
3,18,2.95703125,103
3,20,2.958984375,104
12,25,2.958984375,105
18,19,2.958984375,106
30,12,2.958984375,107
3,1,2.9609375,108
4,18,2.9609375,109
6,24,2.9609375,110
7,1,2.9609375,111
12,26,2.9609375,112
17,14,2.9609375,113
31,22,2.9609375,114
0,11,2.962890625,115
2,19,2.962890625,116
11,15,2.962890625,117
14,3,2.962890625,118
14,8,2.962890625,119
14,30,2.962890625,120
21,5,2.962890625,121
27,10,2.962890625,122
4,10,2.96484375,123
5,14,2.96484375,124
6,10,2.96484375,125
7,28,2.96484375,126
13,22,2.96484375,127
16,13,2.96484375,128
0,23,2.966796875,129
1,28,2.966796875,130
12,1,2.966796875,131
14,21,2.966796875,132
