layer,head,mean_value,rank
0,20,2.392578125,1
0,25,2.740234375,2
0,31,2.830078125,3
0,13,2.923828125,4
0,4,2.9453125,5
0,10,2.953125,6
0,17,2.953125,7
0,0,2.955078125,8
0,11,2.962890625,9
0,23,2.966796875,10
0,3,2.974609375,11
0,14,2.990234375,12
0,18,2.9921875,13
0,5,3.017578125,14
0,7,3.017578125,15
0,9,3.01953125,16
0,30,3.01953125,17
0,6,3.0234375,18
0,28,3.0234375,19
0,8,3.037109375,20
0,2,3.0390625,21
0,15,3.041015625,22
0,19,3.052734375,23
0,24,3.072265625,24
0,1,3.07421875,25
0,16,3.08203125,26
0,27,3.08984375,27
0,21,3.12109375,28
0,29,3.2109375,29
0,26,3.224609375,30
0,12,3.33984375,31
0,22,3.513671875,32
