layer,head,mean_value,rank
19,0,1.3779296875,1
23,6,1.421875,2
22,3,1.4267578125,3
20,5,1.4287109375,4
2,0,1.4326171875,5
19,15,1.4365234375,6
2,2,1.4404296875,7
7,2,1.4462890625,8
8,8,1.4462890625,9
1,13,1.447265625,10
0,9,1.453125,11
12,10,1.4541015625,12
15,7,1.455078125,13
7,14,1.4560546875,14
18,1,1.4580078125,15
3,15,1.458984375,16
13,3,1.4609375,17
13,8,1.4609375,18
20,0,1.4609375,19
0,10,1.462890625,20
9,3,1.462890625,21
5,8,1.4638671875,22
14,10,1.4638671875,23
17,11,1.4638671875,24
20,6,1.4638671875,25
23,4,1.46484375,26
10,13,1.4658203125,27
1,9,1.466796875,28
3,0,1.4677734375,29
4,3,1.4677734375,30
15,3,1.4677734375,31
4,1,1.46875,32
6,6,1.46875,33
0,14,1.4697265625,34
6,10,1.4697265625,35
8,9,1.4697265625,36
9,5,1.4697265625,37
10,7,1.4697265625,38
12,5,1.4697265625,39
13,7,1.4697265625,40
15,15,1.4697265625,41
16,10,1.4697265625,42
3,5,1.470703125,43
11,6,1.470703125,44
18,0,1.470703125,45
18,8,1.470703125,46
20,10,1.470703125,47
23,13,1.470703125,48
1,2,1.4716796875,49
9,0,1.4716796875,50
12,3,1.4716796875,51
16,12,1.4716796875,52
21,12,1.4716796875,53
22,5,1.4716796875,54
23,0,1.4716796875,55
13,5,1.47265625,56
2,10,1.4736328125,57
4,9,1.4736328125,58
9,9,1.4736328125,59
14,12,1.4736328125,60
23,15,1.4736328125,61
0,5,1.474609375,62
12,1,1.474609375,63
15,5,1.474609375,64
3,2,1.4755859375,65
6,1,1.4755859375,66
7,0,1.4755859375,67
8,12,1.4755859375,68
9,12,1.4755859375,69
10,15,1.4755859375,70
22,14,1.4755859375,71
23,9,1.4755859375,72
6,14,1.4765625,73
9,14,1.4765625,74
10,1,1.4765625,75
10,10,1.4765625,76
11,0,1.4765625,77
14,7,1.4765625,78
23,2,1.4765625,79
0,11,1.4775390625,80
8,15,1.4775390625,81
10,11,1.4775390625,82
15,2,1.4775390625,83
19,6,1.4775390625,84
2,13,1.478515625,85
3,10,1.478515625,86
4,14,1.478515625,87
6,9,1.478515625,88
7,15,1.478515625,89
12,0,1.478515625,90
14,5,1.478515625,91
15,12,1.478515625,92
16,7,1.478515625,93
17,0,1.478515625,94
17,2,1.478515625,95
21,7,1.478515625,96
21,8,1.478515625,97
22,6,1.478515625,98
22,10,1.478515625,99
23,11,1.478515625,100
3,6,1.4794921875,101
4,2,1.4794921875,102
6,8,1.4794921875,103
7,1,1.4794921875,104
8,7,1.4794921875,105
11,3,1.4794921875,106
11,7,1.4794921875,107
16,1,1.4794921875,108
18,7,1.4794921875,109
20,13,1.4794921875,110
22,12,1.4794921875,111
23,10,1.4794921875,112
23,12,1.4794921875,113
1,11,1.48046875,114
5,4,1.48046875,115
7,11,1.48046875,116
9,15,1.48046875,117
12,13,1.48046875,118
13,6,1.48046875,119
13,14,1.48046875,120
14,8,1.48046875,121
15,0,1.48046875,122
15,13,1.48046875,123
17,6,1.48046875,124
18,6,1.48046875,125
18,15,1.48046875,126
22,9,1.48046875,127
3,7,1.4814453125,128
4,12,1.4814453125,129
5,6,1.4814453125,130
10,2,1.4814453125,131
10,8,1.4814453125,132
10,12,1.4814453125,133
11,1,1.4814453125,134
12,14,1.4814453125,135
13,0,1.4814453125,136
15,4,1.4814453125,137
15,8,1.4814453125,138
19,11,1.4814453125,139
20,15,1.4814453125,140
21,15,1.4814453125,141
2,15,1.482421875,142
3,1,1.482421875,143
3,13,1.482421875,144
6,15,1.482421875,145
7,4,1.482421875,146
8,0,1.482421875,147
9,7,1.482421875,148
9,8,1.482421875,149
10,9,1.482421875,150
12,8,1.482421875,151
14,2,1.482421875,152
14,4,1.482421875,153
16,3,1.482421875,154
16,14,1.482421875,155
17,8,1.482421875,156
18,5,1.482421875,157
20,8,1.482421875,158
21,3,1.482421875,159
23,7,1.482421875,160
1,12,1.4833984375,161
2,5,1.4833984375,162
2,7,1.4833984375,163
2,11,1.4833984375,164
3,8,1.4833984375,165
3,9,1.4833984375,166
5,12,1.4833984375,167
6,11,1.4833984375,168
9,2,1.4833984375,169
11,11,1.4833984375,170
14,1,1.4833984375,171
16,0,1.4833984375,172
16,2,1.4833984375,173
16,4,1.4833984375,174
18,3,1.4833984375,175
19,14,1.4833984375,176
21,0,1.4833984375,177
23,1,1.4833984375,178
0,1,1.484375,179
1,10,1.484375,180
4,5,1.484375,181
4,6,1.484375,182
4,8,1.484375,183
5,3,1.484375,184
5,7,1.484375,185
5,15,1.484375,186
6,0,1.484375,187
6,4,1.484375,188
6,13,1.484375,189
7,3,1.484375,190
7,5,1.484375,191
8,2,1.484375,192
8,10,1.484375,193
10,5,1.484375,194
10,6,1.484375,195
11,8,1.484375,196
11,14,1.484375,197
12,2,1.484375,198
12,4,1.484375,199
12,11,1.484375,200
14,15,1.484375,201
16,5,1.484375,202
17,5,1.484375,203
19,2,1.484375,204
19,3,1.484375,205
19,5,1.484375,206
19,8,1.484375,207
19,9,1.484375,208
20,2,1.484375,209
20,3,1.484375,210
20,9,1.484375,211
21,4,1.484375,212
21,5,1.484375,213
21,11,1.484375,214
21,13,1.484375,215
0,6,1.4853515625,216
2,3,1.4853515625,217
3,11,1.4853515625,218
4,4,1.4853515625,219
4,11,1.4853515625,220
5,0,1.4853515625,221
5,2,1.4853515625,222
9,4,1.4853515625,223
11,9,1.4853515625,224
11,12,1.4853515625,225
12,9,1.4853515625,226
13,9,1.4853515625,227
14,0,1.4853515625,228
14,9,1.4853515625,229
14,11,1.4853515625,230
16,13,1.4853515625,231
17,7,1.4853515625,232
18,13,1.4853515625,233
19,4,1.4853515625,234
19,10,1.4853515625,235
19,13,1.4853515625,236
20,12,1.4853515625,237
21,9,1.4853515625,238
22,4,1.4853515625,239
22,8,1.4853515625,240
1,0,1.486328125,241
3,12,1.486328125,242
5,10,1.486328125,243
5,11,1.486328125,244
7,7,1.486328125,245
10,3,1.486328125,246
11,5,1.486328125,247
11,10,1.486328125,248
11,13,1.486328125,249
16,9,1.486328125,250
16,15,1.486328125,251
17,1,1.486328125,252
17,13,1.486328125,253
17,14,1.486328125,254
18,9,1.486328125,255
18,11,1.486328125,256
20,4,1.486328125,257
1,5,1.4873046875,258
2,1,1.4873046875,259
2,12,1.4873046875,260
4,15,1.4873046875,261
5,5,1.4873046875,262
5,9,1.4873046875,263
5,13,1.4873046875,264
8,1,1.4873046875,265
8,4,1.4873046875,266
8,5,1.4873046875,267
8,11,1.4873046875,268
8,13,1.4873046875,269
11,2,1.4873046875,270
15,6,1.4873046875,271
17,9,1.4873046875,272
18,4,1.4873046875,273
18,10,1.4873046875,274
18,12,1.4873046875,275
18,14,1.4873046875,276
19,7,1.4873046875,277
21,2,1.4873046875,278
22,1,1.4873046875,279
22,15,1.4873046875,280
3,14,1.48828125,281
6,2,1.48828125,282
7,8,1.48828125,283
9,11,1.48828125,284
13,13,1.48828125,285
14,3,1.48828125,286
14,14,1.48828125,287
19,12,1.48828125,288
20,7,1.48828125,289
22,7,1.48828125,290
23,14,1.48828125,291
1,4,1.4892578125,292
1,7,1.4892578125,293
5,1,1.4892578125,294
7,9,1.4892578125,295
12,15,1.4892578125,296
15,10,1.4892578125,297
22,11,1.4892578125,298
0,15,1.490234375,299
1,6,1.490234375,300
2,4,1.490234375,301
6,3,1.490234375,302
9,6,1.490234375,303
11,15,1.490234375,304
13,2,1.490234375,305
13,11,1.490234375,306
17,12,1.490234375,307
23,8,1.490234375,308
1,15,1.4912109375,309
4,0,1.4912109375,310
5,14,1.4912109375,311
7,6,1.4912109375,312
8,6,1.4912109375,313
13,1,1.4912109375,314
15,14,1.4912109375,315
17,3,1.4912109375,316
20,11,1.4912109375,317
21,14,1.4912109375,318
4,13,1.4921875,319
8,3,1.4921875,320
11,4,1.4921875,321
21,6,1.4921875,322
21,10,1.4921875,323
2,6,1.4931640625,324
10,0,1.4931640625,325
13,12,1.4931640625,326
14,6,1.4931640625,327
17,15,1.4931640625,328
19,1,1.4931640625,329
20,1,1.4931640625,330
0,8,1.494140625,331
1,14,1.494140625,332
6,5,1.494140625,333
6,12,1.494140625,334
9,13,1.494140625,335
10,4,1.494140625,336
16,11,1.494140625,337
17,4,1.494140625,338
18,2,1.494140625,339
21,1,1.494140625,340
1,3,1.4951171875,341
7,13,1.4951171875,342
12,6,1.4951171875,343
14,13,1.4951171875,344
0,12,1.49609375,345
0,13,1.49609375,346
4,10,1.49609375,347
6,7,1.49609375,348
3,4,1.4970703125,349
4,7,1.4970703125,350
7,10,1.4970703125,351
15,9,1.4970703125,352
1,1,1.498046875,353
7,12,1.498046875,354
16,6,1.498046875,355
17,10,1.498046875,356
2,9,1.4990234375,357
8,14,1.4990234375,358
12,7,1.4990234375,359
1,8,1.5,360
0,0,1.5009765625,361
3,3,1.501953125,362
9,10,1.501953125,363
22,0,1.501953125,364
22,13,1.501953125,365
10,14,1.5029296875,366
13,10,1.5029296875,367
13,15,1.5029296875,368
15,11,1.5029296875,369
12,12,1.5048828125,370
16,8,1.5048828125,371
9,1,1.505859375,372
13,4,1.505859375,373
0,3,1.5068359375,374
15,1,1.509765625,375
20,14,1.5107421875,376
23,5,1.5107421875,377
23,3,1.5146484375,378
2,14,1.5205078125,379
22,2,1.5205078125,380
2,8,1.52734375,381
0,4,1.5419921875,382
0,7,1.5458984375,383
0,2,1.748046875,384
