layer,head,mean_value,rank
0,21,-0.0540771484375,1
0,13,0.0714111328125,2
0,22,0.080322265625,3
19,10,0.164306640625,4
0,29,0.16845703125,5
27,29,0.17333984375,6
2,5,0.186767578125,7
30,12,0.2108154296875,8
26,29,0.2119140625,9
16,17,0.2364501953125,10
19,16,0.24169921875,11
2,31,0.24560546875,12
28,18,0.2462158203125,13
24,13,0.25048828125,14
17,8,0.255859375,15
8,9,0.257080078125,16
30,2,0.25927734375,17
1,2,0.2607421875,18
0,2,0.2626953125,19
1,27,0.267333984375,20
1,26,0.270263671875,21
14,14,0.271240234375,22
2,14,0.2734375,23
2,1,0.274169921875,24
1,9,0.275634765625,25
7,17,0.275634765625,26
26,27,0.2763671875,27
17,16,0.27783203125,28
2,12,0.27978515625,29
14,4,0.281005859375,30
0,31,0.281494140625,31
3,1,0.281494140625,32
12,1,0.281494140625,33
31,12,0.28173828125,34
20,17,0.282470703125,35
11,19,0.282958984375,36
20,27,0.283447265625,37
0,25,0.28369140625,38
27,27,0.28466796875,39
18,28,0.28515625,40
9,8,0.285888671875,41
6,23,0.28759765625,42
24,5,0.28759765625,43
2,11,0.287841796875,44
13,7,0.2880859375,45
2,10,0.288818359375,46
31,22,0.2900390625,47
24,15,0.29052734375,48
29,25,0.291015625,49
0,15,0.291259765625,50
11,26,0.291259765625,51
3,7,0.292236328125,52
26,9,0.292236328125,53
28,6,0.292236328125,54
18,6,0.29296875,55
19,3,0.293212890625,56
19,4,0.29541015625,57
0,16,0.2958984375,58
1,17,0.29638671875,59
6,27,0.296630859375,60
17,28,0.296875,61
29,6,0.296875,62
1,29,0.297119140625,63
6,18,0.297119140625,64
15,8,0.298095703125,65
10,16,0.298583984375,66
11,31,0.299560546875,67
3,3,0.300048828125,68
19,29,0.300048828125,69
14,19,0.300537109375,70
4,24,0.30078125,71
3,23,0.301025390625,72
16,14,0.301025390625,73
19,27,0.301025390625,74
31,10,0.3017578125,75
20,10,0.302001953125,76
2,6,0.30224609375,77
27,10,0.30224609375,78
27,18,0.302734375,79
1,4,0.302978515625,80
12,13,0.302978515625,81
21,25,0.302978515625,82
4,1,0.30322265625,83
2,15,0.3037109375,84
23,3,0.3037109375,85
21,23,0.304443359375,86
11,22,0.3046875,87
9,26,0.304931640625,88
13,2,0.304931640625,89
25,23,0.304931640625,90
8,7,0.30517578125,91
18,14,0.30517578125,92
23,15,0.30517578125,93
15,0,0.3056640625,94
3,28,0.305908203125,95
7,1,0.305908203125,96
30,5,0.305908203125,97
7,28,0.30615234375,98
13,28,0.30615234375,99
22,30,0.30615234375,100
12,2,0.306396484375,101
20,23,0.306396484375,102
26,6,0.306396484375,103
13,18,0.306640625,104
5,29,0.30712890625,105
7,7,0.307861328125,106
23,30,0.30810546875,107
8,2,0.30859375,108
15,1,0.30859375,109
16,0,0.30859375,110
6,0,0.308837890625,111
14,8,0.308837890625,112
27,2,0.308837890625,113
6,9,0.30908203125,114
7,30,0.30908203125,115
2,2,0.309326171875,116
6,20,0.309326171875,117
22,14,0.31005859375,118
4,14,0.310302734375,119
6,8,0.310302734375,120
27,22,0.310302734375,121
30,25,0.310302734375,122
11,13,0.310546875,123
13,20,0.310546875,124
15,3,0.310791015625,125
20,30,0.31103515625,126
31,25,0.311279296875,127
9,23,0.311767578125,128
15,28,0.311767578125,129
31,27,0.311767578125,130
0,5,0.31201171875,131
22,18,0.31201171875,132
16,12,0.3125,133
18,12,0.3125,134
21,30,0.3125,135
11,4,0.312744140625,136
13,17,0.312744140625,137
12,20,0.31298828125,138
21,20,0.31298828125,139
0,1,0.313232421875,140
1,19,0.313232421875,141
12,15,0.313232421875,142
0,11,0.3134765625,143
4,20,0.3134765625,144
10,6,0.3134765625,145
23,16,0.3134765625,146
0,6,0.313720703125,147
8,12,0.313720703125,148
3,30,0.31396484375,149
10,14,0.31396484375,150
13,13,0.31396484375,151
14,28,0.31396484375,152
15,19,0.31396484375,153
5,26,0.314453125,154
25,10,0.314453125,155
28,7,0.314453125,156
21,17,0.314697265625,157
3,18,0.31494140625,158
6,29,0.31494140625,159
24,14,0.315185546875,160
18,24,0.3154296875,161
10,8,0.315673828125,162
15,5,0.315673828125,163
20,9,0.315673828125,164
31,15,0.315673828125,165
3,5,0.31591796875,166
25,14,0.31591796875,167
1,6,0.316162109375,168
3,17,0.316162109375,169
18,19,0.316162109375,170
