layer,head,mean_value,rank
0,23,0.08807373046875,1
0,21,0.13720703125,2
0,29,0.296630859375,3
0,16,0.306884765625,4
0,2,0.323486328125,5
0,30,0.333251953125,6
0,27,0.333740234375,7
0,5,0.334716796875,8
0,31,0.3388671875,9
0,28,0.339111328125,10
0,26,0.342041015625,11
0,7,0.343994140625,12
0,14,0.355712890625,13
0,8,0.36181640625,14
0,1,0.365478515625,15
0,0,0.366455078125,16
0,6,0.368896484375,17
0,3,0.373046875,18
0,9,0.373779296875,19
0,18,0.381591796875,20
0,11,0.382080078125,21
0,19,0.386474609375,22
0,24,0.3876953125,23
0,22,0.392578125,24
0,15,0.393798828125,25
0,12,0.4033203125,26
0,10,0.413818359375,27
0,17,0.4140625,28
0,13,0.417236328125,29
0,25,0.437744140625,30
0,4,0.47900390625,31
0,20,0.487548828125,32
