model,head,condition,layer,step,mean_drift,mean_entropy
pythia-2.8b-deduped,-1,base,resid0,0,0.955078125,
pythia-2.8b-deduped,-1,base,resid_mid,0,0.24822998046875,
pythia-2.8b-deduped,-1,base,resid_final,0,0.3876953125,
pythia-2.8b-deduped,-1,base,resid0,1,0.89794921875,
pythia-2.8b-deduped,-1,base,resid_mid,1,0.25872802734375,
pythia-2.8b-deduped,-1,base,resid_final,1,0.45263671875,
pythia-2.8b-deduped,-1,base,resid0,2,0.7742919921875,
pythia-2.8b-deduped,-1,base,resid_mid,2,0.2237548828125,
pythia-2.8b-deduped,-1,base,resid_final,2,0.27655029296875,
pythia-2.8b-deduped,-1,base,resid0,3,0.82110595703125,
pythia-2.8b-deduped,-1,base,resid_mid,3,0.20843505859375,
pythia-2.8b-deduped,-1,base,resid_final,3,0.617919921875,
pythia-2.8b-deduped,-1,base,resid0,4,0.87677001953125,
pythia-2.8b-deduped,-1,base,resid_mid,4,0.21075439453125,
pythia-2.8b-deduped,-1,base,resid_final,4,0.38385009765625,
pythia-2.8b-deduped,-1,base,resid0,5,0.90313720703125,
pythia-2.8b-deduped,-1,base,resid_mid,5,0.17572021484375,
pythia-2.8b-deduped,-1,base,resid_final,5,0.2645263671875,
pythia-2.8b-deduped,-1,base,resid0,6,0.8529052734375,
pythia-2.8b-deduped,-1,base,resid_mid,6,0.185546875,
pythia-2.8b-deduped,-1,base,resid_final,6,0.24566650390625,
pythia-2.8b-deduped,-1,base,resid0,7,0.9468994140625,
pythia-2.8b-deduped,-1,base,resid_mid,7,0.22393798828125,
pythia-2.8b-deduped,-1,base,resid_final,7,0.33837890625,
pythia-2.8b-deduped,-1,base,resid0,8,0.8092041015625,
pythia-2.8b-deduped,-1,base,resid_mid,8,0.2197265625,
pythia-2.8b-deduped,-1,base,resid_final,8,0.37554931640625,
pythia-2.8b-deduped,-1,base,resid0,9,0.73248291015625,
pythia-2.8b-deduped,-1,base,resid_mid,9,0.20928955078125,
pythia-2.8b-deduped,-1,base,resid_final,9,0.3116455078125,
pythia-2.8b-deduped,-1,base,resid0,10,0.82476806640625,
pythia-2.8b-deduped,-1,base,resid_mid,10,0.20343017578125,
pythia-2.8b-deduped,-1,base,resid_final,10,0.5123291015625,
pythia-2.8b-deduped,-1,base,resid0,11,0.9271240234375,
pythia-2.8b-deduped,-1,base,resid_mid,11,0.217529296875,
pythia-2.8b-deduped,-1,base,resid_final,11,0.3165283203125,
pythia-2.8b-deduped,-1,base,resid0,12,0.890625,
pythia-2.8b-deduped,-1,base,resid_mid,12,0.22784423828125,
pythia-2.8b-deduped,-1,base,resid_final,12,0.41094970703125,
pythia-2.8b-deduped,-1,base,resid0,13,0.76324462890625,
pythia-2.8b-deduped,-1,base,resid_mid,13,0.25994873046875,
pythia-2.8b-deduped,-1,base,resid_final,13,0.3524169921875,
pythia-2.8b-deduped,-1,base,resid0,14,0.74542236328125,
pythia-2.8b-deduped,-1,base,resid_mid,14,0.22344970703125,
pythia-2.8b-deduped,-1,base,resid_final,14,0.5123291015625,
pythia-2.8b-deduped,-1,base,resid0,15,0.87689208984375,
pythia-2.8b-deduped,-1,base,resid_mid,15,0.2042236328125,
pythia-2.8b-deduped,-1,base,resid_final,15,0.57855224609375,
pythia-2.8b-deduped,-1,base,resid0,16,0.8238525390625,
pythia-2.8b-deduped,-1,base,resid_mid,16,0.21209716796875,
pythia-2.8b-deduped,-1,base,resid_final,16,0.31536865234375,
pythia-2.8b-deduped,-1,base,resid0,17,0.8277587890625,
pythia-2.8b-deduped,-1,base,resid_mid,17,0.2034912109375,
pythia-2.8b-deduped,-1,base,resid_final,17,0.3294677734375,
pythia-2.8b-deduped,-1,base,resid0,18,0.7943115234375,
pythia-2.8b-deduped,-1,base,resid_mid,18,0.21832275390625,
pythia-2.8b-deduped,-1,base,resid_final,18,0.4208984375,
pythia-2.8b-deduped,-1,base,resid0,19,0.922119140625,
pythia-2.8b-deduped,-1,base,resid_mid,19,0.23095703125,
pythia-2.8b-deduped,-1,base,resid_final,19,0.2840576171875,
pythia-2.8b-deduped,-1,base,resid0,20,0.84979248046875,
pythia-2.8b-deduped,-1,base,resid_mid,20,0.2220458984375,
pythia-2.8b-deduped,-1,base,resid_final,20,0.3818359375,
pythia-2.8b-deduped,-1,base,resid0,21,0.78326416015625,
pythia-2.8b-deduped,-1,base,resid_mid,21,0.22039794921875,
pythia-2.8b-deduped,-1,base,resid_final,21,0.2890625,
pythia-2.8b-deduped,-1,base,resid0,22,0.8343505859375,
pythia-2.8b-deduped,-1,base,resid_mid,22,0.21392822265625,
pythia-2.8b-deduped,-1,base,resid_final,22,0.56475830078125,
pythia-2.8b-deduped,-1,base,resid0,23,0.81378173828125,
pythia-2.8b-deduped,-1,base,resid_mid,23,0.2647705078125,
pythia-2.8b-deduped,-1,base,resid_final,23,0.46478271484375,
pythia-2.8b-deduped,-1,base,resid0,24,0.82879638671875,
pythia-2.8b-deduped,-1,base,resid_mid,24,0.23590087890625,
pythia-2.8b-deduped,-1,base,resid_final,24,0.57696533203125,
pythia-2.8b-deduped,-1,base,resid0,25,0.90399169921875,
pythia-2.8b-deduped,-1,base,resid_mid,25,0.24542236328125,
pythia-2.8b-deduped,-1,base,resid_final,25,0.307373046875,
pythia-2.8b-deduped,-1,base,resid0,26,0.8521728515625,
pythia-2.8b-deduped,-1,base,resid_mid,26,0.22882080078125,
pythia-2.8b-deduped,-1,base,resid_final,26,0.30364990234375,
pythia-2.8b-deduped,-1,base,resid0,27,0.9404296875,
pythia-2.8b-deduped,-1,base,resid_mid,27,0.23193359375,
pythia-2.8b-deduped,-1,base,resid_final,27,0.40728759765625,
pythia-2.8b-deduped,-1,base,resid0,28,0.84722900390625,
pythia-2.8b-deduped,-1,base,resid_mid,28,0.23291015625,
pythia-2.8b-deduped,-1,base,resid_final,28,0.27752685546875,
pythia-2.8b-deduped,-1,base,resid0,29,0.86322021484375,
pythia-2.8b-deduped,-1,base,resid_mid,29,0.229736328125,
pythia-2.8b-deduped,-1,base,resid_final,29,0.3114013671875,
pythia-2.8b-deduped,-1,base,resid0,30,0.88861083984375,
pythia-2.8b-deduped,-1,base,resid_mid,30,0.26055908203125,
pythia-2.8b-deduped,-1,base,resid_final,30,0.43487548828125,
pythia-2.8b-deduped,-1,base,resid0,31,0.841796875,
pythia-2.8b-deduped,-1,base,resid_mid,31,0.267822265625,
pythia-2.8b-deduped,-1,base,resid_final,31,0.35491943359375,
pythia-2.8b-deduped,-1,base,resid0,32,0.83868408203125,
pythia-2.8b-deduped,-1,base,resid_mid,32,0.2813720703125,
pythia-2.8b-deduped,-1,base,resid_final,32,0.32403564453125,
pythia-2.8b-deduped,-1,base,resid0,33,0.86749267578125,
pythia-2.8b-deduped,-1,base,resid_mid,33,0.2607421875,
pythia-2.8b-deduped,-1,base,resid_final,33,0.41455078125,
pythia-2.8b-deduped,-1,base,resid0,34,0.66351318359375,
pythia-2.8b-deduped,-1,base,resid_mid,34,0.214599609375,
pythia-2.8b-deduped,-1,base,resid_final,34,0.41522216796875,
pythia-2.8b-deduped,-1,base,resid0,35,0.70989990234375,
pythia-2.8b-deduped,-1,base,resid_mid,35,0.231201171875,
pythia-2.8b-deduped,-1,base,resid_final,35,0.5433349609375,
pythia-2.8b-deduped,-1,base,resid0,36,0.9058837890625,
pythia-2.8b-deduped,-1,base,resid_mid,36,0.26641845703125,
pythia-2.8b-deduped,-1,base,resid_final,36,0.55120849609375,
pythia-2.8b-deduped,-1,base,resid0,37,0.88848876953125,
pythia-2.8b-deduped,-1,base,resid_mid,37,0.22039794921875,
pythia-2.8b-deduped,-1,base,resid_final,37,0.36260986328125,
pythia-2.8b-deduped,-1,base,resid0,38,0.86328125,
pythia-2.8b-deduped,-1,base,resid_mid,38,0.19671630859375,
pythia-2.8b-deduped,-1,base,resid_final,38,0.41839599609375,
pythia-2.8b-deduped,-1,base,resid0,39,0.94195556640625,
pythia-2.8b-deduped,-1,base,resid_mid,39,0.2918701171875,
pythia-2.8b-deduped,-1,base,resid_final,39,0.4132080078125,
pythia-2.8b-deduped,-1,base,resid0,40,0.94085693359375,
pythia-2.8b-deduped,-1,base,resid_mid,40,0.2230224609375,
pythia-2.8b-deduped,-1,base,resid_final,40,0.25506591796875,
pythia-2.8b-deduped,-1,base,resid0,41,0.7711181640625,
pythia-2.8b-deduped,-1,base,resid_mid,41,0.218994140625,
pythia-2.8b-deduped,-1,base,resid_final,41,0.38079833984375,
pythia-2.8b-deduped,-1,base,resid0,42,0.67364501953125,
