model,sigma,head,var_before,var_after_full,vdi_full,var_after_minus,vdi_minus,vdi_effect
pythia-2.8b-deduped,0.05,0,5.324406661987305,1358.8315625,-254.20807270435347,1289.832626953125,-241.24908216753346,-12.958990536820014
pythia-2.8b-deduped,0.05,1,5.324406661987305,1358.8315625,-254.20807270435347,1415.8480078125,-264.91657957321445,10.708506868860955
pythia-2.8b-deduped,0.05,2,5.324406661987305,1358.8315625,-254.20807270435347,1372.0958984375,-256.69930539553735,2.491232691183866
pythia-2.8b-deduped,0.05,3,5.324406661987305,1358.8315625,-254.20807270435347,1383.7653515625,-258.89099620088325,4.682923496529764
pythia-2.8b-deduped,0.05,4,5.324406661987305,1358.8315625,-254.20807270435347,1354.04767578125,-253.30959010855483,-0.8984825957986454
pythia-2.8b-deduped,0.05,5,5.324406661987305,1358.8315625,-254.20807270435347,1369.424453125,-256.19756961874697,1.9894969143934895
pythia-2.8b-deduped,0.05,6,5.324406661987305,1358.8315625,-254.20807270435347,1363.149609375,-255.01906389062555,0.8109911862720587
pythia-2.8b-deduped,0.05,7,5.324406661987305,1358.8315625,-254.20807270435347,1348.64546875,-252.2949780824265,-1.9130946219269722
pythia-2.8b-deduped,0.05,8,5.324406661987305,1358.8315625,-254.20807270435347,1391.58390625,-260.359433002174,6.151360297820543
pythia-2.8b-deduped,0.05,9,5.324406661987305,1358.8315625,-254.20807270435347,1356.40306640625,-253.75196627824445,-0.45610642610900887
pythia-2.8b-deduped,0.05,10,5.324406661987305,1358.8315625,-254.20807270435347,1341.0228515625,-250.8633411562089,-3.3447315481445794
pythia-2.8b-deduped,0.05,11,5.324406661987305,1358.8315625,-254.20807270435347,1345.1434375,-251.63724634397718,-2.570826360376296
pythia-2.8b-deduped,0.05,12,5.324406661987305,1358.8315625,-254.20807270435347,1375.6068359375,-257.35870985558086,3.1506371512274036
pythia-2.8b-deduped,0.05,13,5.324406661987305,1358.8315625,-254.20807270435347,1370.82619140625,-256.4608361891345,2.252763484781058
pythia-2.8b-deduped,0.05,14,5.324406661987305,1358.8315625,-254.20807270435347,1371.65205078125,-256.6159444345088,2.40787173015533
pythia-2.8b-deduped,0.05,15,5.324406661987305,1358.8315625,-254.20807270435347,1355.49279296875,-253.58100386021607,-0.6270688441374108
pythia-2.8b-deduped,0.05,16,5.324406661987305,1358.8315625,-254.20807270435347,1358.385390625,-254.12427522168082,-0.08379748267266782
pythia-2.8b-deduped,0.05,17,5.324406661987305,1358.8315625,-254.20807270435347,1318.71884765625,-246.67432906111753,-7.533743643235936
pythia-2.8b-deduped,0.05,18,5.324406661987305,1358.8315625,-254.20807270435347,1381.229296875,-258.41468872692457,4.206616022571086
pythia-2.8b-deduped,0.05,19,5.324406661987305,1358.8315625,-254.20807270435347,1369.28087890625,-256.17060431953814,1.962531615184694
pythia-2.8b-deduped,0.05,20,5.324406661987305,1358.8315625,-254.20807270435347,1337.45455078125,-250.1931630485288,-4.014909655824675
pythia-2.8b-deduped,0.05,21,5.324406661987305,1358.8315625,-254.20807270435347,1290.35599609375,-241.34737840481404,-12.860694299539446
pythia-2.8b-deduped,0.05,22,5.324406661987305,1358.8315625,-254.20807270435347,1355.031484375,-253.49436348448302,-0.7137092198704578
pythia-2.8b-deduped,0.05,23,5.324406661987305,1358.8315625,-254.20807270435347,1352.303359375,-252.98198244877494,-1.2260902555785442
pythia-2.8b-deduped,0.05,24,5.324406661987305,1358.8315625,-254.20807270435347,1355.625703125,-253.60596629541072,-0.6021064089427528
pythia-2.8b-deduped,0.05,25,5.324406661987305,1358.8315625,-254.20807270435347,1355.15392578125,-253.51735973815468,-0.6907129661988012
pythia-2.8b-deduped,0.05,26,5.324406661987305,1358.8315625,-254.20807270435347,1392.24865234375,-260.4842818606386,6.276209156285097
pythia-2.8b-deduped,0.05,27,5.324406661987305,1358.8315625,-254.20807270435347,1076.840185546875,-201.24604428410632,-52.96202842024716
pythia-2.8b-deduped,0.05,28,5.324406661987305,1358.8315625,-254.20807270435347,1354.4964453125,-253.39387546835914,-0.8141972359943408
pythia-2.8b-deduped,0.05,29,5.324406661987305,1358.8315625,-254.20807270435347,1366.3605078125,-255.6221167078387,1.414044003485219
pythia-2.8b-deduped,0.05,30,5.324406661987305,1358.8315625,-254.20807270435347,1384.22029296875,-258.9764407274064,4.768368023052893
pythia-2.8b-deduped,0.05,31,5.324406661987305,1358.8315625,-254.20807270435347,1161.364609375,-217.1209443798433,-37.087128324510154
