model,head,condition,layer,step,mean_drift,mean_entropy
pythia-2.8b-deduped,-1,base,resid0,0,0.92620849609375,3.4687008261680603
pythia-2.8b-deduped,-1,base,resid_mid,0,0.23065185546875,3.4687008261680603
pythia-2.8b-deduped,-1,base,resid_final,0,0.32647705078125,3.4687008261680603
pythia-2.8b-deduped,-1,base,resid0,1,0.799468994140625,3.9714258685708046
pythia-2.8b-deduped,-1,base,resid_mid,1,0.208343505859375,3.9714258685708046
pythia-2.8b-deduped,-1,base,resid_final,1,0.320892333984375,3.9714258685708046
pythia-2.8b-deduped,-1,base,resid0,2,0.792083740234375,4.035363841801882
pythia-2.8b-deduped,-1,base,resid_mid,2,0.196990966796875,4.035363841801882
pythia-2.8b-deduped,-1,base,resid_final,2,0.321441650390625,4.035363841801882
pythia-2.8b-deduped,-1,base,resid0,3,0.83746337890625,3.7908578356727958
pythia-2.8b-deduped,-1,base,resid_mid,3,0.202911376953125,3.7908578356727958
pythia-2.8b-deduped,-1,base,resid_final,3,0.352203369140625,3.7908578356727958
pythia-2.8b-deduped,-1,base,resid0,4,0.914031982421875,3.275040586479008
pythia-2.8b-deduped,-1,base,resid_mid,4,0.213714599609375,3.275040586479008
pythia-2.8b-deduped,-1,base,resid_final,4,0.4136962890625,3.275040586479008
pythia-2.8b-deduped,-1,base,resid0,5,0.915191650390625,3.252068266272545
pythia-2.8b-deduped,-1,base,resid_mid,5,0.20556640625,3.252068266272545
pythia-2.8b-deduped,-1,base,resid_final,5,0.353912353515625,3.252068266272545
pythia-2.8b-deduped,-1,base,resid0,6,0.912841796875,3.258659914135933
pythia-2.8b-deduped,-1,base,resid_mid,6,0.21856689453125,3.258659914135933
pythia-2.8b-deduped,-1,base,resid_final,6,0.391326904296875,3.258659914135933
pythia-2.8b-deduped,-1,base,resid0,7,0.890228271484375,3.1506293043494225
pythia-2.8b-deduped,-1,base,resid_mid,7,0.189697265625,3.1506293043494225
pythia-2.8b-deduped,-1,base,resid_final,7,0.30804443359375,3.1506293043494225
pythia-2.8b-deduped,-1,base,resid0,8,0.816680908203125,3.623946461826563
pythia-2.8b-deduped,-1,base,resid_mid,8,0.19091796875,3.623946461826563
pythia-2.8b-deduped,-1,base,resid_final,8,0.290924072265625,3.623946461826563
pythia-2.8b-deduped,-1,base,resid0,9,0.852386474609375,2.9435261813923717
pythia-2.8b-deduped,-1,base,resid_mid,9,0.20635986328125,2.9435261813923717
pythia-2.8b-deduped,-1,base,resid_final,9,0.3419189453125,2.9435261813923717
pythia-2.8b-deduped,-1,base,resid0,10,0.8680419921875,3.1605759542435408
pythia-2.8b-deduped,-1,base,resid_mid,10,0.202423095703125,3.1605759542435408
pythia-2.8b-deduped,-1,base,resid_final,10,0.47216796875,3.1605759542435408
pythia-2.8b-deduped,-1,base,resid0,11,0.890594482421875,3.225466750562191
pythia-2.8b-deduped,-1,base,resid_mid,11,0.195770263671875,3.225466750562191
pythia-2.8b-deduped,-1,base,resid_final,11,0.331024169921875,3.225466750562191
pythia-2.8b-deduped,-1,base,resid0,12,0.854522705078125,2.9812569580972195
pythia-2.8b-deduped,-1,base,resid_mid,12,0.18438720703125,2.9812569580972195
pythia-2.8b-deduped,-1,base,resid_final,12,0.307769775390625,2.9812569580972195
pythia-2.8b-deduped,-1,base,resid0,13,0.932830810546875,3.567691134288907
pythia-2.8b-deduped,-1,base,resid_mid,13,0.2049560546875,3.567691134288907
pythia-2.8b-deduped,-1,base,resid_final,13,0.362518310546875,3.567691134288907
pythia-2.8b-deduped,-1,base,resid0,14,0.886871337890625,2.9390301387757063
pythia-2.8b-deduped,-1,base,resid_mid,14,0.1910400390625,2.9390301387757063
pythia-2.8b-deduped,-1,base,resid_final,14,0.312042236328125,2.9390301387757063
pythia-2.8b-deduped,-1,base,resid0,15,0.8760986328125,3.0202896050177515
pythia-2.8b-deduped,-1,base,resid_mid,15,0.18756103515625,3.0202896050177515
pythia-2.8b-deduped,-1,base,resid_final,15,0.397003173828125,3.0202896050177515
pythia-2.8b-deduped,-1,base,resid0,16,0.902740478515625,3.0505019204465498
