layer,head,mean_value,rank
0,9,-0.1263427734375,1
0,14,-0.10931396484375,2
0,6,-0.09942626953125,3
35,4,-0.09454345703125,4
21,1,-0.09326171875,5
34,12,-0.09130859375,6
6,11,-0.09112548828125,7
6,3,-0.08880615234375,8
34,16,-0.08880615234375,9
33,5,-0.088134765625,10
0,13,-0.08746337890625,11
0,8,-0.0872802734375,12
24,12,-0.0869140625,13
22,2,-0.0863037109375,14
3,1,-0.085693359375,15
2,3,-0.0853271484375,16
16,2,-0.085205078125,17
16,3,-0.08514404296875,18
23,11,-0.0850830078125,19
0,12,-0.0848388671875,20
16,10,-0.084716796875,21
15,9,-0.08428955078125,22
33,7,-0.08380126953125,23
27,18,-0.08367919921875,24
35,18,-0.08349609375,25
19,3,-0.08331298828125,26
4,2,-0.083251953125,27
22,15,-0.08306884765625,28
34,10,-0.08270263671875,29
27,6,-0.08258056640625,30
20,10,-0.08245849609375,31
27,10,-0.0823974609375,32
0,3,-0.08233642578125,33
5,8,-0.0821533203125,34
35,9,-0.08203125,35
23,1,-0.081787109375,36
32,5,-0.081787109375,37
3,3,-0.0816650390625,38
9,1,-0.0816650390625,39
30,11,-0.0816650390625,40
14,5,-0.08154296875,41
14,14,-0.08154296875,42
34,18,-0.08148193359375,43
35,10,-0.08148193359375,44
34,14,-0.08123779296875,45
15,3,-0.08111572265625,46
22,7,-0.08111572265625,47
35,14,-0.08111572265625,48
9,17,-0.0809326171875,49
14,3,-0.0809326171875,50
24,0,-0.0809326171875,51
12,1,-0.080810546875,52
4,1,-0.08074951171875,53
19,16,-0.080322265625,54
33,12,-0.0802001953125,55
7,17,-0.0799560546875,56
30,8,-0.0799560546875,57
11,3,-0.07989501953125,58
24,8,-0.079833984375,59
7,2,-0.07958984375,60
27,15,-0.07958984375,61
6,17,-0.07952880859375,62
21,7,-0.0794677734375,63
35,0,-0.0794677734375,64
3,11,-0.07940673828125,65
12,9,-0.079345703125,66
14,10,-0.079345703125,67
33,14,-0.07928466796875,68
19,9,-0.0792236328125,69
21,15,-0.0791015625,70
35,7,-0.0791015625,71
7,11,-0.07904052734375,72
22,10,-0.0789794921875,73
15,1,-0.078857421875,74
25,10,-0.078857421875,75
35,16,-0.078857421875,76
20,4,-0.07879638671875,77
0,2,-0.0787353515625,78
10,0,-0.0787353515625,79
2,18,-0.07855224609375,80
29,4,-0.07830810546875,81
10,5,-0.07818603515625,82
32,10,-0.0780029296875,83
27,4,-0.077880859375,84
28,7,-0.077880859375,85
27,13,-0.0777587890625,86
28,9,-0.0777587890625,87
33,4,-0.0777587890625,88
34,6,-0.0777587890625,89
5,10,-0.07769775390625,90
7,0,-0.07763671875,91
20,9,-0.07763671875,92
27,1,-0.07763671875,93
12,5,-0.07757568359375,94
8,19,-0.0775146484375,95
13,4,-0.0775146484375,96
2,0,-0.07733154296875,97
19,8,-0.07733154296875,98
28,17,-0.07733154296875,99
17,15,-0.0772705078125,100
23,10,-0.0772705078125,101
21,16,-0.07720947265625,102
3,8,-0.0771484375,103
7,15,-0.0771484375,104
9,10,-0.07708740234375,105
12,17,-0.07708740234375,106
13,6,-0.07708740234375,107
4,18,-0.0770263671875,108
21,9,-0.0770263671875,109
1,1,-0.07696533203125,110
12,7,-0.07696533203125,111
29,15,-0.076904296875,112
30,17,-0.076904296875,113
25,17,-0.07684326171875,114
8,1,-0.0767822265625,115
20,17,-0.0767822265625,116
