layer,head,mean_value,rank
0,9,0.0574951171875,1
0,6,0.07928466796875,2
24,12,0.08782958984375,3
0,8,0.09027099609375,4
26,19,0.09173583984375,5
35,4,0.09234619140625,6
21,9,0.0943603515625,7
35,18,0.09527587890625,8
0,12,0.095458984375,9
32,5,0.09710693359375,10
0,3,0.09765625,11
19,18,0.09765625,12
35,7,0.09765625,13
0,5,0.0980224609375,14
27,10,0.0986328125,15
0,11,0.098876953125,16
4,12,0.099609375,17
34,12,0.10052490234375,18
21,1,0.10076904296875,19
35,9,0.1009521484375,20
35,10,0.1011962890625,21
30,11,0.10125732421875,22
23,11,0.101318359375,23
31,3,0.1014404296875,24
33,7,0.1015625,25
16,3,0.1016845703125,26
19,16,0.101806640625,27
34,10,0.101806640625,28
0,14,0.10205078125,29
22,7,0.1024169921875,30
21,7,0.10247802734375,31
35,0,0.10284423828125,32
27,18,0.10302734375,33
8,17,0.103271484375,34
35,16,0.1033935546875,35
23,1,0.10345458984375,36
23,10,0.1036376953125,37
0,13,0.10400390625,38
19,3,0.10406494140625,39
16,10,0.10418701171875,40
30,8,0.10418701171875,41
0,2,0.104248046875,42
26,13,0.10443115234375,43
7,19,0.1046142578125,44
35,14,0.104736328125,45
33,1,0.10498046875,46
34,16,0.10498046875,47
16,8,0.105224609375,48
8,19,0.10540771484375,49
29,9,0.10546875,50
33,14,0.10546875,51
16,2,0.10552978515625,52
12,1,0.1055908203125,53
27,19,0.105712890625,54
21,15,0.1058349609375,55
6,11,0.10601806640625,56
18,5,0.1060791015625,57
19,10,0.1060791015625,58
13,2,0.10614013671875,59
12,14,0.106201171875,60
10,5,0.10626220703125,61
28,19,0.1064453125,62
34,6,0.10650634765625,63
4,18,0.1065673828125,64
25,17,0.106689453125,65
32,18,0.106689453125,66
4,7,0.10675048828125,67
10,6,0.10687255859375,68
11,8,0.10687255859375,69
22,10,0.10687255859375,70
17,15,0.10693359375,71
6,5,0.1070556640625,72
24,8,0.1070556640625,73
4,17,0.10711669921875,74
20,9,0.10711669921875,75
25,9,0.107177734375,76
24,0,0.1072998046875,77
20,4,0.10736083984375,78
4,1,0.1075439453125,79
24,3,0.1075439453125,80
34,18,0.10760498046875,81
26,1,0.107666015625,82
32,4,0.10772705078125,83
15,9,0.1077880859375,84
28,0,0.10784912109375,85
5,7,0.10797119140625,86
7,11,0.10797119140625,87
29,4,0.10797119140625,88
27,9,0.10809326171875,89
27,13,0.10809326171875,90
12,7,0.108154296875,91
28,17,0.108154296875,92
31,7,0.108154296875,93
1,18,0.10821533203125,94
7,16,0.10821533203125,95
17,16,0.1083984375,96
2,19,0.10845947265625,97
23,13,0.10845947265625,98
20,8,0.1085205078125,99
26,3,0.1085205078125,100
32,8,0.10858154296875,101
9,13,0.108642578125,102
11,14,0.108642578125,103
22,2,0.108642578125,104
3,11,0.10870361328125,105
5,8,0.1087646484375,106
18,2,0.10882568359375,107
17,4,0.10888671875,108
11,15,0.10894775390625,109
28,9,0.10894775390625,110
15,4,0.109130859375,111
20,16,0.109130859375,112
13,16,0.10919189453125,113
0,19,0.1092529296875,114
16,12,0.1092529296875,115
27,6,0.1092529296875,116
34,14,0.1092529296875,117
33,5,0.10931396484375,118
3,6,0.109375,119
8,1,0.10943603515625,120
21,0,0.10943603515625,121
6,13,0.1094970703125,122
6,17,0.1094970703125,123
18,13,0.1094970703125,124
29,13,0.1094970703125,125
