layer,head,mean_value,rank
12,15,1.34765625,1
2,14,1.3525390625,2
20,0,1.359375,3
22,3,1.365234375,4
2,8,1.3681640625,5
23,0,1.37109375,6
1,13,1.3837890625,7
3,3,1.3837890625,8
0,14,1.3857421875,9
20,5,1.38671875,10
3,9,1.388671875,11
9,3,1.388671875,12
22,5,1.390625,13
3,12,1.3935546875,14
9,1,1.3955078125,15
11,10,1.3955078125,16
12,10,1.3955078125,17
11,4,1.396484375,18
8,12,1.3974609375,19
1,1,1.3984375,20
12,7,1.3984375,21
13,7,1.3984375,22
12,5,1.3994140625,23
13,8,1.400390625,24
19,15,1.400390625,25
23,4,1.400390625,26
8,4,1.4013671875,27
10,7,1.4013671875,28
12,0,1.4013671875,29
14,1,1.4013671875,30
18,12,1.4013671875,31
10,3,1.40234375,32
12,9,1.40234375,33
7,3,1.4033203125,34
11,0,1.4033203125,35
15,14,1.4033203125,36
18,15,1.4033203125,37
23,13,1.4033203125,38
3,0,1.404296875,39
4,11,1.404296875,40
5,14,1.404296875,41
6,10,1.404296875,42
7,7,1.404296875,43
9,9,1.404296875,44
14,5,1.404296875,45
1,7,1.4052734375,46
2,2,1.4052734375,47
5,2,1.4052734375,48
15,8,1.4052734375,49
17,10,1.4052734375,50
17,11,1.4052734375,51
17,12,1.4052734375,52
23,2,1.4052734375,53
0,10,1.40625,54
5,10,1.40625,55
7,14,1.40625,56
8,5,1.40625,57
11,8,1.40625,58
12,14,1.40625,59
15,5,1.40625,60
19,6,1.40625,61
1,11,1.4072265625,62
2,9,1.4072265625,63
6,11,1.4072265625,64
8,10,1.4072265625,65
9,14,1.4072265625,66
10,0,1.4072265625,67
12,13,1.4072265625,68
13,14,1.4072265625,69
14,10,1.4072265625,70
14,14,1.4072265625,71
17,8,1.4072265625,72
23,7,1.4072265625,73
23,15,1.4072265625,74
3,2,1.408203125,75
4,15,1.408203125,76
6,12,1.408203125,77
10,1,1.408203125,78
18,6,1.408203125,79
1,14,1.4091796875,80
3,7,1.4091796875,81
4,4,1.4091796875,82
11,6,1.4091796875,83
14,4,1.4091796875,84
14,6,1.4091796875,85
20,6,1.4091796875,86
22,6,1.4091796875,87
23,9,1.4091796875,88
2,3,1.41015625,89
2,6,1.41015625,90
3,4,1.41015625,91
5,12,1.41015625,92
8,0,1.41015625,93
10,5,1.41015625,94
11,1,1.41015625,95
18,0,1.41015625,96
19,0,1.41015625,97
21,8,1.41015625,98
21,15,1.41015625,99
2,1,1.4111328125,100
2,10,1.4111328125,101
5,9,1.4111328125,102
6,0,1.4111328125,103
8,3,1.4111328125,104
8,11,1.4111328125,105
10,13,1.4111328125,106
11,5,1.4111328125,107
15,2,1.4111328125,108
15,3,1.4111328125,109
15,12,1.4111328125,110
17,0,1.4111328125,111
17,2,1.4111328125,112
19,4,1.4111328125,113
19,11,1.4111328125,114
20,11,1.4111328125,115
21,12,1.4111328125,116
0,5,1.412109375,117
4,7,1.412109375,118
6,14,1.412109375,119
