layer,head,mean_value,rank
23,6,1.5537109375,1
16,4,1.556640625,2
22,10,1.5673828125,3
15,10,1.5732421875,4
17,10,1.5751953125,5
23,3,1.5751953125,6
21,14,1.576171875,7
21,6,1.5771484375,8
0,10,1.578125,9
13,8,1.578125,10
17,11,1.580078125,11
23,2,1.580078125,12
22,6,1.5810546875,13
23,9,1.5810546875,14
12,5,1.58203125,15
20,14,1.5830078125,16
2,8,1.583984375,17
6,10,1.583984375,18
10,7,1.583984375,19
16,10,1.583984375,20
17,2,1.583984375,21
15,12,1.5849609375,22
18,8,1.5849609375,23
0,14,1.5859375,24
4,1,1.5859375,25
15,13,1.5859375,26
15,14,1.5859375,27
17,3,1.5859375,28
20,10,1.5869140625,29
21,8,1.5869140625,30
1,1,1.587890625,31
2,5,1.587890625,32
3,14,1.587890625,33
4,5,1.587890625,34
6,4,1.587890625,35
23,8,1.587890625,36
3,2,1.5888671875,37
14,7,1.5888671875,38
18,0,1.5888671875,39
6,0,1.58984375,40
6,3,1.58984375,41
9,13,1.58984375,42
13,12,1.58984375,43
17,0,1.58984375,44
20,9,1.58984375,45
2,2,1.5908203125,46
3,5,1.5908203125,47
3,6,1.5908203125,48
5,13,1.5908203125,49
12,13,1.5908203125,50
12,15,1.5908203125,51
13,6,1.5908203125,52
14,6,1.5908203125,53
19,3,1.5908203125,54
19,6,1.5908203125,55
19,7,1.5908203125,56
20,12,1.5908203125,57
22,4,1.5908203125,58
1,11,1.591796875,59
7,2,1.591796875,60
11,6,1.591796875,61
18,5,1.591796875,62
20,8,1.591796875,63
21,2,1.591796875,64
22,12,1.591796875,65
4,7,1.5927734375,66
12,4,1.5927734375,67
14,2,1.5927734375,68
16,1,1.5927734375,69
16,11,1.5927734375,70
1,12,1.59375,71
8,15,1.59375,72
9,10,1.59375,73
15,3,1.59375,74
18,15,1.59375,75
21,7,1.59375,76
22,11,1.59375,77
2,1,1.5947265625,78
2,7,1.5947265625,79
3,15,1.5947265625,80
6,15,1.5947265625,81
8,8,1.5947265625,82
10,3,1.5947265625,83
10,12,1.5947265625,84
11,10,1.5947265625,85
18,11,1.5947265625,86
18,14,1.5947265625,87
2,13,1.595703125,88
3,4,1.595703125,89
3,7,1.595703125,90
14,4,1.595703125,91
22,9,1.595703125,92
23,4,1.595703125,93
8,10,1.5966796875,94
9,6,1.5966796875,95
10,6,1.5966796875,96
11,1,1.5966796875,97
14,14,1.5966796875,98
15,1,1.5966796875,99
19,5,1.5966796875,100
23,15,1.5966796875,101
2,14,1.59765625,102
3,12,1.59765625,103
5,7,1.59765625,104
7,8,1.59765625,105
13,15,1.59765625,106
17,15,1.59765625,107
21,0,1.59765625,108
2,11,1.5986328125,109
3,0,1.5986328125,110
4,0,1.5986328125,111
5,11,1.5986328125,112
7,12,1.5986328125,113
8,3,1.5986328125,114
10,8,1.5986328125,115
10,9,1.5986328125,116
13,1,1.5986328125,117
13,4,1.5986328125,118
13,9,1.5986328125,119
13,13,1.5986328125,120
15,2,1.5986328125,121
16,15,1.5986328125,122
18,13,1.5986328125,123
21,4,1.5986328125,124
23,14,1.5986328125,125
1,5,1.599609375,126
5,15,1.599609375,127
8,9,1.599609375,128
9,2,1.599609375,129
9,14,1.599609375,130
11,12,1.599609375,131
13,11,1.599609375,132
14,12,1.599609375,133
16,2,1.599609375,134
17,5,1.599609375,135
18,10,1.599609375,136
21,9,1.599609375,137
2,4,1.6005859375,138
2,15,1.6005859375,139
4,13,1.6005859375,140
5,3,1.6005859375,141
5,14,1.6005859375,142
6,12,1.6005859375,143
11,3,1.6005859375,144
11,11,1.6005859375,145
14,8,1.6005859375,146
17,4,1.6005859375,147
19,9,1.6005859375,148
19,11,1.6005859375,149
1,3,1.6015625,150
2,9,1.6015625,151
3,8,1.6015625,152
4,3,1.6015625,153
4,14,1.6015625,154
10,11,1.6015625,155
11,8,1.6015625,156
11,14,1.6015625,157
12,14,1.6015625,158
15,0,1.6015625,159
15,7,1.6015625,160
16,13,1.6015625,161
17,8,1.6015625,162
18,1,1.6015625,163
19,12,1.6015625,164
20,13,1.6015625,165
20,15,1.6015625,166
22,0,1.6015625,167
23,7,1.6015625,168
1,10,1.6025390625,169
4,2,1.6025390625,170
4,6,1.6025390625,171
5,6,1.6025390625,172
5,8,1.6025390625,173
5,12,1.6025390625,174
6,2,1.6025390625,175
8,4,1.6025390625,176
8,6,1.6025390625,177
9,5,1.6025390625,178
10,0,1.6025390625,179
12,1,1.6025390625,180
13,14,1.6025390625,181
14,0,1.6025390625,182
18,2,1.6025390625,183
21,3,1.6025390625,184
22,14,1.6025390625,185
4,9,1.603515625,186
4,12,1.603515625,187
5,1,1.603515625,188
