layer,head,mean_value,rank
17,2,1.2470703125,1
23,6,1.2509765625,2
23,3,1.2548828125,3
21,6,1.259765625,4
22,10,1.26171875,5
6,10,1.263671875,6
21,14,1.2646484375,7
20,14,1.265625,8
23,9,1.265625,9
3,15,1.2666015625,10
4,7,1.2666015625,11
17,8,1.2666015625,12
18,8,1.2666015625,13
23,2,1.267578125,14
2,4,1.2685546875,15
8,8,1.26953125,16
17,10,1.26953125,17
22,9,1.26953125,18
0,10,1.2705078125,19
12,13,1.2705078125,20
16,10,1.2705078125,21
22,6,1.2705078125,22
2,9,1.271484375,23
19,7,1.271484375,24
22,4,1.271484375,25
15,12,1.2724609375,26
15,13,1.2724609375,27
16,4,1.2724609375,28
18,0,1.2724609375,29
3,6,1.2734375,30
5,13,1.2734375,31
6,0,1.2734375,32
10,7,1.2734375,33
13,8,1.2734375,34
2,1,1.2744140625,35
10,6,1.2744140625,36
15,14,1.275390625,37
20,13,1.275390625,38
22,11,1.275390625,39
8,6,1.2763671875,40
18,5,1.2763671875,41
2,5,1.27734375,42
2,6,1.27734375,43
15,10,1.27734375,44
7,12,1.2783203125,45
13,12,1.2783203125,46
14,1,1.2783203125,47
14,7,1.2783203125,48
16,1,1.2783203125,49
17,0,1.2783203125,50
18,11,1.2783203125,51
19,4,1.2783203125,52
21,2,1.2783203125,53
21,8,1.2783203125,54
0,1,1.279296875,55
3,14,1.279296875,56
4,2,1.279296875,57
10,12,1.279296875,58
12,15,1.279296875,59
17,11,1.279296875,60
20,9,1.279296875,61
4,13,1.2802734375,62
6,4,1.2802734375,63
9,13,1.2802734375,64
10,8,1.2802734375,65
11,10,1.2802734375,66
13,6,1.2802734375,67
19,6,1.2802734375,68
21,7,1.2802734375,69
3,4,1.28125,70
5,15,1.28125,71
11,3,1.28125,72
12,5,1.28125,73
13,9,1.28125,74
17,3,1.28125,75
20,12,1.28125,76
23,8,1.28125,77
4,5,1.2822265625,78
11,1,1.2822265625,79
11,8,1.2822265625,80
15,3,1.2822265625,81
18,10,1.2822265625,82
1,11,1.283203125,83
2,11,1.283203125,84
3,11,1.283203125,85
7,0,1.283203125,86
8,7,1.283203125,87
9,10,1.283203125,88
14,2,1.283203125,89
14,5,1.283203125,90
20,10,1.283203125,91
23,13,1.283203125,92
1,1,1.2841796875,93
6,3,1.2841796875,94
12,4,1.2841796875,95
15,11,1.2841796875,96
16,11,1.2841796875,97
16,15,1.2841796875,98
18,3,1.2841796875,99
18,14,1.2841796875,100
19,3,1.2841796875,101
19,5,1.2841796875,102
20,7,1.2841796875,103
20,8,1.2841796875,104
22,14,1.2841796875,105
5,12,1.28515625,106
13,1,1.28515625,107
13,11,1.28515625,108
15,1,1.28515625,109
16,6,1.28515625,110
17,5,1.28515625,111
21,4,1.28515625,112
21,13,1.28515625,113
1,3,1.2861328125,114
2,7,1.2861328125,115
2,13,1.2861328125,116
3,3,1.2861328125,117
3,8,1.2861328125,118
4,9,1.2861328125,119
7,11,1.2861328125,120
10,3,1.2861328125,121
14,14,1.2861328125,122
19,12,1.2861328125,123
21,9,1.2861328125,124
22,12,1.2861328125,125
23,15,1.2861328125,126
3,7,1.287109375,127
3,13,1.287109375,128
5,1,1.287109375,129
5,10,1.287109375,130
6,2,1.287109375,131
8,9,1.287109375,132
8,10,1.287109375,133
9,1,1.287109375,134
9,7,1.287109375,135
11,9,1.287109375,136
13,7,1.287109375,137
16,2,1.287109375,138
17,9,1.287109375,139
18,13,1.287109375,140
19,9,1.287109375,141
20,15,1.287109375,142
0,3,1.2880859375,143
0,14,1.2880859375,144
4,12,1.2880859375,145
5,14,1.2880859375,146
8,1,1.2880859375,147
10,9,1.2880859375,148
11,11,1.2880859375,149
12,6,1.2880859375,150
12,7,1.2880859375,151
12,14,1.2880859375,152
13,14,1.2880859375,153
14,6,1.2880859375,154
15,0,1.2880859375,155
15,2,1.2880859375,156
15,4,1.2880859375,157
16,13,1.2880859375,158
16,14,1.2880859375,159
19,0,1.2880859375,160
23,14,1.2880859375,161
1,7,1.2890625,162
4,0,1.2890625,163
6,7,1.2890625,164
6,11,1.2890625,165
6,12,1.2890625,166
7,8,1.2890625,167
9,6,1.2890625,168
9,14,1.2890625,169
9,15,1.2890625,170
13,13,1.2890625,171
13,15,1.2890625,172
14,8,1.2890625,173
17,7,1.2890625,174
18,12,1.2890625,175
19,14,1.2890625,176
4,1,1.2900390625,177
4,14,1.2900390625,178
6,6,1.2900390625,179
7,5,1.2900390625,180
8,15,1.2900390625,181
10,5,1.2900390625,182
12,1,1.2900390625,183
17,4,1.2900390625,184
21,12,1.2900390625,185
23,7,1.2900390625,186
2,15,1.291015625,187
4,3,1.291015625,188
4,6,1.291015625,189
5,0,1.291015625,190
5,3,1.291015625,191
5,5,1.291015625,192
5,7,1.291015625,193
6,9,1.291015625,194
7,6,1.291015625,195
7,10,1.291015625,196
7,15,1.291015625,197
8,3,1.291015625,198
9,5,1.291015625,199
11,2,1.291015625,200
11,12,1.291015625,201
15,5,1.291015625,202
18,15,1.291015625,203
19,2,1.291015625,204
21,0,1.291015625,205
22,0,1.291015625,206
23,4,1.291015625,207
23,11,1.291015625,208
1,0,1.2919921875,209
1,6,1.2919921875,210
4,4,1.2919921875,211
5,6,1.2919921875,212
8,0,1.2919921875,213
8,4,1.2919921875,214
10,11,1.2919921875,215
11,14,1.2919921875,216
12,9,1.2919921875,217
14,3,1.2919921875,218
17,14,1.2919921875,219
18,1,1.2919921875,220
19,8,1.2919921875,221
22,15,1.2919921875,222
5,2,1.29296875,223
9,4,1.29296875,224
14,9,1.29296875,225
17,1,1.29296875,226
17,15,1.29296875,227
20,4,1.29296875,228
21,3,1.29296875,229
2,0,1.2939453125,230
3,9,1.2939453125,231
7,14,1.2939453125,232
8,5,1.2939453125,233
10,15,1.2939453125,234
12,3,1.2939453125,235
12,10,1.2939453125,236
14,0,1.2939453125,237
14,11,1.2939453125,238
17,13,1.2939453125,239
21,5,1.2939453125,240
3,0,1.294921875,241
3,2,1.294921875,242
5,4,1.294921875,243
6,5,1.294921875,244
6,8,1.294921875,245
6,14,1.294921875,246
7,7,1.294921875,247
8,13,1.294921875,248
9,2,1.294921875,249
9,8,1.294921875,250
9,11,1.294921875,251
10,0,1.294921875,252
12,0,1.294921875,253
14,10,1.294921875,254
15,7,1.294921875,255
16,12,1.294921875,256
18,2,1.294921875,257
19,10,1.294921875,258
19,11,1.294921875,259
20,6,1.294921875,260
1,2,1.2958984375,261
1,5,1.2958984375,262
7,4,1.2958984375,263
10,1,1.2958984375,264
10,4,1.2958984375,265
11,7,1.2958984375,266
13,3,1.2958984375,267
13,5,1.2958984375,268
15,15,1.2958984375,269
16,3,1.2958984375,270
16,9,1.2958984375,271
19,15,1.2958984375,272
20,0,1.2958984375,273
21,11,1.2958984375,274
2,2,1.296875,275
2,3,1.296875,276
4,15,1.296875,277
9,9,1.296875,278
9,12,1.296875,279
11,6,1.296875,280
15,9,1.296875,281
16,8,1.296875,282
18,7,1.296875,283
1,8,1.2978515625,284
1,10,1.2978515625,285
1,14,1.2978515625,286
2,8,1.2978515625,287
2,12,1.2978515625,288
4,8,1.2978515625,289
6,13,1.2978515625,290
7,13,1.2978515625,291
8,11,1.2978515625,292
13,4,1.2978515625,293
16,5,1.2978515625,294
1,12,1.298828125,295
2,14,1.298828125,296
3,1,1.298828125,297
5,9,1.298828125,298
8,2,1.298828125,299
10,13,1.298828125,300
10,14,1.298828125,301
11,0,1.298828125,302
14,4,1.298828125,303
20,1,1.298828125,304
23,12,1.298828125,305
1,4,1.2998046875,306
3,5,1.2998046875,307
7,1,1.2998046875,308
9,0,1.2998046875,309
10,10,1.2998046875,310
12,2,1.2998046875,311
19,13,1.2998046875,312
23,0,1.2998046875,313
10,2,1.30078125,314
3,12,1.3017578125,315
5,11,1.3017578125,316
4,11,1.302734375,317
11,13,1.302734375,318
14,12,1.302734375,319
14,13,1.302734375,320
16,7,1.302734375,321
20,11,1.302734375,322
21,10,1.302734375,323
22,5,1.302734375,324
4,10,1.3037109375,325
9,3,1.3037109375,326
11,5,1.3037109375,327
18,4,1.3037109375,328
7,3,1.3046875,329
21,1,1.3046875,330
21,15,1.3046875,331
22,7,1.3046875,332
8,12,1.3056640625,333
13,10,1.3056640625,334
19,1,1.3056640625,335
22,8,1.3056640625,336
0,0,1.306640625,337
1,9,1.306640625,338
2,10,1.306640625,339
12,8,1.306640625,340
13,2,1.306640625,341
14,15,1.306640625,342
16,0,1.306640625,343
22,13,1.306640625,344
7,2,1.3076171875,345
8,14,1.3076171875,346
11,4,1.3076171875,347
12,11,1.3076171875,348
12,12,1.3076171875,349
5,8,1.30859375,350
7,9,1.30859375,351
20,3,1.30859375,352
1,15,1.3095703125,353
22,3,1.3095703125,354
23,1,1.3095703125,355
0,5,1.310546875,356
18,6,1.310546875,357
3,10,1.3115234375,358
11,15,1.3125,359
13,0,1.3125,360
17,12,1.3125,361
20,2,1.3125,362
15,8,1.3134765625,363
20,5,1.3134765625,364
6,1,1.314453125,365
6,15,1.314453125,366
1,13,1.3154296875,367
18,9,1.3154296875,368
23,10,1.31640625,369
15,6,1.3173828125,370
0,12,1.3203125,371
0,8,1.3212890625,372
0,13,1.32421875,373
17,6,1.3271484375,374
23,5,1.3359375,375
0,6,1.3408203125,376
22,2,1.35546875,377
22,1,1.357421875,378
0,15,1.3642578125,379
0,9,1.3759765625,380
0,4,1.4375,381
0,7,1.4375,382
0,11,1.462890625,383
0,2,1.73046875,384
